generation_project,timestamp,DispatchEmissions_tCO2_per_typical_yr,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,gen_dbid,gen_energy_source,gen_load_zone,gen_tech,period,tp_weight_in_year_hrs
N-Geothermal,2025011500,,0.96858075,1.061316545328,30597.75600180624,N-Geothermal,Geothermal,North,Geothermal,2020,1095.7440000000001
N-Geothermal,2025011512,,0.96858075,1.061316545328,30597.75600180624,N-Geothermal,Geothermal,North,Geothermal,2020,1095.7440000000001
N-Geothermal,2025011600,,0.96858075,1.061316545328,30597.75600180624,N-Geothermal,Geothermal,North,Geothermal,2020,1095.7440000000001
N-Geothermal,2025011612,,0.96858075,1.061316545328,30597.75600180624,N-Geothermal,Geothermal,North,Geothermal,2020,1095.7440000000001
N-Geothermal,2025061500,,0.96858075,2.122644713625,61195.84709380875,N-Geothermal,Geothermal,North,Geothermal,2020,2191.5
N-Geothermal,2025061512,,0.96858075,2.122644713625,61195.84709380875,N-Geothermal,Geothermal,North,Geothermal,2020,2191.5
N-Geothermal,2035011512,,0.96858075,8.4905788545,244783.388375235,N-Geothermal,Geothermal,North,Geothermal,2030,8766.0
N-Coal_IGCC,2025011500,0.0,0.0,0.0,0.0,N-Coal_IGCC,Coal,North,Coal_IGCC,2020,1095.7440000000001
N-Coal_IGCC,2025011512,0.0,0.0,0.0,0.0,N-Coal_IGCC,Coal,North,Coal_IGCC,2020,1095.7440000000001
N-Coal_IGCC,2025011600,0.0,0.0,0.0,0.0,N-Coal_IGCC,Coal,North,Coal_IGCC,2020,1095.7440000000001
N-Coal_IGCC,2025011612,0.0,0.0,0.0,0.0,N-Coal_IGCC,Coal,North,Coal_IGCC,2020,1095.7440000000001
N-Coal_IGCC,2025061500,0.0,0.0,0.0,0.0,N-Coal_IGCC,Coal,North,Coal_IGCC,2020,2191.5
N-Coal_IGCC,2025061512,0.0,0.0,0.0,0.0,N-Coal_IGCC,Coal,North,Coal_IGCC,2020,2191.5
N-Coal_IGCC,2035011512,0.0,0.0,0.0,0.0,N-Coal_IGCC,Coal,North,Coal_IGCC,2030,8766.0
N-Coal_IGCC_CCS,2025011500,0.0,0.0,0.0,0.0,N-Coal_IGCC_CCS,Coal,North,Coal_IGCC_CCS,2020,1095.7440000000001
N-Coal_IGCC_CCS,2025011512,0.0,0.0,0.0,0.0,N-Coal_IGCC_CCS,Coal,North,Coal_IGCC_CCS,2020,1095.7440000000001
N-Coal_IGCC_CCS,2025011600,0.0,0.0,0.0,0.0,N-Coal_IGCC_CCS,Coal,North,Coal_IGCC_CCS,2020,1095.7440000000001
N-Coal_IGCC_CCS,2025011612,0.0,0.0,0.0,0.0,N-Coal_IGCC_CCS,Coal,North,Coal_IGCC_CCS,2020,1095.7440000000001
N-Coal_IGCC_CCS,2025061500,0.0,0.0,0.0,0.0,N-Coal_IGCC_CCS,Coal,North,Coal_IGCC_CCS,2020,2191.5
N-Coal_IGCC_CCS,2025061512,0.0,0.0,0.0,0.0,N-Coal_IGCC_CCS,Coal,North,Coal_IGCC_CCS,2020,2191.5
N-Coal_IGCC_CCS,2035011512,0.0,0.0,0.0,0.0,N-Coal_IGCC_CCS,Coal,North,Coal_IGCC_CCS,2030,8766.0
