TRANS_TIMEPOINTS_1	TRANS_TIMEPOINTS_2	TRANS_TIMEPOINTS_3	DispatchTx
Shandong	Shanxi	70873	0.0
Shandong	Shanxi	70877	0.0
Shandong	Shanxi	70881	0.0
Shandong	Shanxi	70885	0.0
Shandong	Shanxi	70889	0.0
Shandong	Shanxi	70893	0.0
Shandong	Shanxi	71065	0.0
Shandong	Shanxi	71069	0.0
Shandong	Shanxi	71073	0.0
Shandong	Shanxi	71077	0.0
Shandong	Shanxi	71081	0.0
Shandong	Shanxi	71085	0.0
Shandong	Shanxi	116905	0.0
Shandong	Shanxi	116909	0.0
Shandong	Shanxi	116913	0.0
Shandong	Shanxi	116917	0.0
Shandong	Shanxi	116921	0.0
Shandong	Shanxi	116925	0.0
Shandong	Shanxi	116977	0.0
Shandong	Shanxi	116981	0.0
Shandong	Shanxi	116985	0.0
Shandong	Shanxi	116989	0.0
Shandong	Shanxi	116993	0.0
Shandong	Shanxi	116997	0.0
Shandong	Shanxi	161497	0.0
Shandong	Shanxi	161501	0.0
Shandong	Shanxi	161505	0.0
Shandong	Shanxi	161509	0.0
Shandong	Shanxi	161513	0.0
Shandong	Shanxi	161517	0.0
Shandong	Shanxi	161641	0.0
Shandong	Shanxi	161645	0.0
Shandong	Shanxi	161649	0.0
Shandong	Shanxi	161653	0.0
Shandong	Shanxi	161657	0.0
Shandong	Shanxi	161661	0.0
Shandong	Shanxi	206162	0.0
Shandong	Shanxi	206166	0.0
Shandong	Shanxi	206170	0.0
Shandong	Shanxi	206174	0.0
Shandong	Shanxi	206178	0.0
Shandong	Shanxi	206182	0.0
Shandong	Shanxi	206450	0.0
Shandong	Shanxi	206454	0.0
Shandong	Shanxi	206458	0.0
Shandong	Shanxi	206462	0.0
Shandong	Shanxi	206466	0.0
Shandong	Shanxi	206470	0.0
Shandong	Shanxi	251282	0.0
Shandong	Shanxi	251286	2672.18626163
Shandong	Shanxi	251290	4000.0
Shandong	Shanxi	251294	0.0
Shandong	Shanxi	251298	0.0
Shandong	Shanxi	251302	1239.56741524
Shandong	Shanxi	251498	1916.99706286
Shandong	Shanxi	251502	1736.8760388
Shandong	Shanxi	251506	4000.0
Shandong	Shanxi	251510	0.0
Shandong	Shanxi	251514	0.0
Shandong	Shanxi	251518	2281.55803291
Sichuan	Shaanxi	70873	0.0
Sichuan	Shaanxi	70877	0.0
Sichuan	Shaanxi	70881	0.0
Sichuan	Shaanxi	70885	6000.0
Sichuan	Shaanxi	70889	1311.66397876
Sichuan	Shaanxi	70893	0.0
Sichuan	Shaanxi	71065	0.0
Sichuan	Shaanxi	71069	0.0
Sichuan	Shaanxi	71073	0.0
Sichuan	Shaanxi	71077	6000.0
Sichuan	Shaanxi	71081	1311.66397876
Sichuan	Shaanxi	71085	0.0
Sichuan	Shaanxi	116905	0.0
Sichuan	Shaanxi	116909	0.0
Sichuan	Shaanxi	116913	0.0
Sichuan	Shaanxi	116917	6000.0
Sichuan	Shaanxi	116921	6000.0
Sichuan	Shaanxi	116925	6000.0
Sichuan	Shaanxi	116977	0.0
Sichuan	Shaanxi	116981	0.0
Sichuan	Shaanxi	116985	0.0
Sichuan	Shaanxi	116989	6000.0
Sichuan	Shaanxi	116993	6000.0
Sichuan	Shaanxi	116997	6000.0
Sichuan	Shaanxi	161497	0.0
Sichuan	Shaanxi	161501	3837.10217716
Sichuan	Shaanxi	161505	2926.60355365
Sichuan	Shaanxi	161509	0.0
Sichuan	Shaanxi	161513	0.0
Sichuan	Shaanxi	161517	4029.27794385
Sichuan	Shaanxi	161641	939.216248271
Sichuan	Shaanxi	161645	3837.10217716
Sichuan	Shaanxi	161649	434.629519827
Sichuan	Shaanxi	161653	0.0
Sichuan	Shaanxi	161657	0.0
Sichuan	Shaanxi	161661	6000.0
Sichuan	Shaanxi	206162	0.0
Sichuan	Shaanxi	206166	0.0
Sichuan	Shaanxi	206170	0.0
Sichuan	Shaanxi	206174	0.0
